time_perf,ql_0,ql_1,ql_2,ql_3,ql_4,ql_5,qr_0,qr_1,qr_2,qr_3,qr_4,qr_5
8.170450400000000002e+00,-3.626112609769955308e-01,-2.222375749817437907e-01,8.342762591488739332e-02,6.504398320628297370e-01,-2.971426276974504788e-01,2.371385464593688541e-01,-6.241281746148045206e-01,-8.749922085005978900e-02,6.285014427570634332e-02,1.136491474773153598e+00,-5.151156294748715503e-01,1.076854938017326457e-01
8.180433499999999469e+00,-3.631712839354230282e-01,-2.214638939767192838e-01,8.328305363477506162e-02,6.515541631580816784e-01,-2.976481418761602882e-01,2.363651895440570805e-01,-5.997741858161029782e-01,-9.218023508072903383e-02,6.286117817099912131e-02,1.092554829559405860e+00,-4.956809292180706095e-01,1.115236381623384704e-01
8.192095699999999425e+00,-3.637494340328766285e-01,-2.206610385056082535e-01,8.313127638350614745e-02,6.527051344055987414e-01,-2.981702575306055536e-01,2.355621374396929812e-01,-5.749790149407760786e-01,-9.629290093170816967e-02,6.222249933653212217e-02,1.047793256251548399e+00,-4.758133161975388603e-01,1.145948748512261722e-01
8.200490399999999624e+00,-3.643338261605930661e-01,-2.198452031995281608e-01,8.297522626493858411e-02,6.538691227836528341e-01,-2.986982571671310538e-01,2.347455475264411950e-01,-5.502133624199725404e-01,-9.972604022341657881e-02,6.099473678073796812e-02,1.003065880866332193e+00,-4.558973650595339322e-01,1.168473210510660304e-01
8.210296400000000716e+00,-3.649141335626837068e-01,-2.190307333221588326e-01,8.281761868143022731e-02,6.550255640378450650e-01,-2.992228123878346580e-01,2.339297677448645973e-01,-5.260027335997261577e-01,-1.023833130277369552e-01,5.926637816931457081e-02,9.593323089822991534e-01,-4.363670592895680933e-01,1.182478829600970976e-01
8.222178400000000664e+00,-3.654817058992014811e-01,-2.182299103399329976e-01,8.266089026675760287e-02,6.561571955089489094e-01,-2.997360937738609010e-01,2.331271158640738084e-01,-5.029273269179858064e-01,-1.041862792974290741e-01,5.714794262265221469e-02,9.176518978550021188e-01,-4.177050915321260938e-01,1.187806389148401004e-01
8.230833300000000463e+00,-3.660295623082076566e-01,-2.174528975724587809e-01,8.250716143210579112e-02,6.572500517385879704e-01,-3.002317685616677778e-01,2.323478170615279892e-01,-4.816158900056301539e-01,-1.050770189876601979e-01,5.476440756972955626e-02,8.791724550400648042e-01,-4.004371736420950789e-01,1.184452274405079636e-01
8.253852099999999581e+00,-3.668009041753384492e-01,-2.163521638378598233e-01,8.228660409699428691e-02,6.587896057703881425e-01,-3.009300153053704463e-01,2.312429847517883108e-01,-4.628219724115537059e-01,-1.046763032655373404e-01,5.208767759860188917e-02,8.453004830362873534e-01,-3.852077907832662795e-01,1.168774410675735981e-01
8.265885000000000815e+00,-3.688601385951157385e-01,-2.133739827822884738e-01,8.167369246710576292e-02,6.629048507292214509e-01,-3.027962528437768697e-01,2.282486832183088232e-01,-4.635828018986023480e-01,-1.017957745826696403e-01,5.075816116701226122e-02,8.469437768224459262e-01,-3.859472451765268985e-01,1.137095589115701827e-01
8.274848399999999771e+00,-3.727279623394589292e-01,-2.076171798258077406e-01,8.042353303625304761e-02,6.706547878743673863e-01,-3.063100678591066384e-01,2.224400969836504705e-01,-4.640031877339637068e-01,-9.623217006680317986e-02,4.804756158395662169e-02,8.482028739727560662e-01,-3.865137767295370175e-01,1.075270522507812965e-01
