time_s,neck_pitch_joint,head_roll_joint,head_yaw_joint,head_pitch_joint,neck_pitch_joint_fit,head_roll_joint_fit,head_yaw_joint_fit,head_pitch_joint_fit,neck_pitch_joint_residual,head_roll_joint_residual,head_yaw_joint_residual,head_pitch_joint_residual
0.3333333333333333,0.440796166658401,0.194313362240791,-0.274344146251678,-0.0809007883071899,0.41273463404523186,0.2804549237968259,-0.3190191932190269,-0.0816601841355987,0.028061532613169127,-0.08614156155603492,0.044675046967348864,0.0007593958284087959
0.36666666666666664,0.449999988079071,0.221458286046981,-0.320200830698013,-0.0932260900735855,0.43105911699490473,0.2530664536665423,-0.2948576201865673,-0.11644410480222579,0.018940871084166255,-0.031608167619561284,-0.02534321051144567,0.023218014728640296
0.4,0.449999988079071,0.237659841775894,-0.33082377910614,-0.107660613954067,0.4421672543669633,0.23393131576969628,-0.28482988875582943,-0.14330429722580146,0.007832733712107687,0.003728526006197719,-0.045993890350310596,0.035643683271734464
0.43333333333333335,0.449999988079071,0.260718435049057,-0.308734983205795,-0.119118563830852,0.4466381078620114,0.22461793653056591,-0.2897135401596257,-0.16083250928602358,0.0033618802170595763,0.03610049851849109,-0.019021443046169317,0.04171394545517158
0.4666666666666667,0.449999988079071,0.271100938320159,-0.32084110379219,-0.124756872653961,0.4456798365480096,0.22540240029641298,-0.30921157715863784,-0.16872025225523868,0.004320151531061411,0.045698538023746044,-0.011629526633552156,0.04396337960127768
0.5,0.449989974498748,0.299199521541595,-0.348480284214019,-0.1434056609869,0.44088489030556005,0.23519330958395637,-0.3417720985963497,-0.16770187310771642,0.009105084193187951,0.06400621195763864,-0.006708185617669282,0.024296212120816424
0.5333333333333333,0.44507959485054,0.300210446119308,-0.374629318714141,-0.157351449131965,0.4339568561789552,0.2516481104066791,-0.38452412249641754,-0.15939218280777895,0.011122738671584809,0.04856233571262891,0.009894803782276529,0.0020407336758139494
0.5666666666666667,0.376249283552169,0.27733227610588,-0.430351912975311,-0.162502691149711,0.4264518959200478,0.2714731520123323,-0.4333731071833733,-0.1460428790505441,-0.05020261236787876,0.0058591240935477185,0.0030211942080622944,-0.016459812099166887
0.6,0.355340212583541,0.247909694910049,-0.435466885566711,-0.161800056695938,0.41957293300382265,0.2908715012834257,-0.4832786731493582,-0.13024924587294953,-0.06423272042028166,-0.04296180637337671,0.0478117875826472,-0.03155081082298847
0.6333333333333333,0.365576237440109,0.255875974893569,-0.470812022686004,-0.147198587656021,0.4140442535841231,0.3060785547176872,-0.5287085877259061,-0.11464188620763499,-0.04846801614401414,-0.05020257982411819,0.05789656503990215,-0.032556701448386016
