Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
fl_hip_pitch_link,-0.0321821712136224,0.0250959553049843,8.84327745124258E-05,0,0,0,0.102190685704198,3.55607202592114E-05,1.92428538932964E-06,-5.98885153096746E-08,2.18361262893178E-05,1.17979182323141E-08,2.44018559991729E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_hip_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_hip_pitch_link.STL,,大腿肩关节-2;EL05-P-2,fl_hip_pitch_坐标,fl_hip_pitch_轴,fl_hip_pitch_joint,revolute,0.11134,0.040867,-0.085936,0,0,0,waist_yaw_link,0,1,0.001365,3,3,3,3,,,,,,,,
fl_thigh_roll_link,0.0183301605396837,0.00450616222706112,-0.0313320689096973,0,0,0,0.087055559840085,7.51572919634499E-05,-2.03566887748423E-06,1.26918210195626E-05,7.63248804757592E-05,1.1566481295829E-05,1.32721609830659E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_thigh_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_thigh_roll_link.STL,,前大臂连杆(左)-1,fl_thigh_roll_坐标,fl_thigh_roll_轴,fl_thigh_roll_joint,fixed,-0.0205,0.028,3.8219E-05,0,0,0,fl_hip_pitch_link,0,0,0,3,3,3,3,,,,,,,,
fl_calf_link,0.0016071218030177,-0.0097875037117093,-0.044329770751849,0,0,0,0.25844447415131,0.00016981301016523,4.64148293870364E-07,4.98276199164393E-06,0.000182934859816168,-1.29573236518385E-05,4.20918668431379E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_calf_link.STL,,EL05-P-3;空心杯电机GMP24-370CA-51-2;伞齿-2;左前小腿关节-1,fl_calf_坐标,fl_calf_轴,fl_calf_joint,fixed,0.0235,0.0034955,-0.069995,0,0,0,fl_thigh_roll_link,0,0,0,3,3,3,3,,,,,,,,
fl_tarsus_link,-7.83041758378733E-08,-0.00497287696877935,-0.026643108041826,0,0,0,0.0670670254495437,1.24371470779939E-05,4.87038984494773E-11,6.34363554525829E-10,1.38000348789516E-05,-8.24046844271019E-07,4.74339214785349E-06,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_tarsus_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_tarsus_link.STL,,脚掌-2-1;脚掌-1-2;脚掌伞齿-1,fl_tarsus_坐标,fl_tarsus_轴,fl_tarsus_joint,revolute,0.0040403,-0.0022336,-0.12194,0,0,0,fl_calf_link,0,1,0.001365,3,3,3,3,,,,,,,,
fl_foot_link,0,-1.69267099292894E-06,0.00124007147087274,0,0,0,0.00489075290329225,1.15137085286373E-07,-9.15254912292948E-40,1.22088202660225E-40,1.15137196907064E-07,-8.17746838161935E-11,1.75046218758843E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_foot_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fl_foot_link.STL,,脚垫-2,fl_foot_坐标,,fl_foot_joint,fixed,0,-0.005449,-0.051948,0,0,0,fl_tarsus_link,0,0,0,,,,,,,,,,,,
fr_hip_pitch_link,-0.0321731617197371,-0.0249285590638101,-0.00079968355658061,0,0,0,0.102190692966846,3.55579908295187E-05,-2.13452524166063E-06,1.95476332499238E-07,2.18289220415739E-05,-5.11344714516478E-08,2.44117908994772E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_hip_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_hip_pitch_link.STL,,大腿肩关节-1;EL05-P-1,fr_hip_pitch_坐标,fr_hip_pitch_轴,fr_hip_pitch_joint,revolute,0.11134,-0.040633,-0.086047,0,0,0,waist_yaw_link,0,-1,-0.001365,3,3,3,3,,,,,,,,
fr_thigh_roll_link,0.019146733799963,-0.00442128213321002,-0.0308521259345457,0,0,0,0.0870555598400863,7.44481482538577E-05,2.299579749086E-06,1.43055098910512E-05,7.63874080411426E-05,-1.13381895696261E-05,1.39187771272794E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_thigh_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_thigh_roll_link.STL,,前大臂连杆(右)-1,fr_thigh_roll_坐标,fr_thigh_roll_轴,fr_thigh_roll_joint,revolute,-0.020493,-0.027999,-0.00057652,0,0,0,fr_hip_pitch_link,0.99966,-3.5842E-05,0.026258,3,3,3,3,,,,,,,,
fr_calf_link,0.00185552450460272,0.00990897177225253,-0.044286492653952,0,0,0,0.258443401793819,0.000169798156235228,-6.40117254018129E-07,5.09150159239647E-06,0.000182862497598756,1.33613005187489E-05,4.21794286122281E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_calf_link.STL,,EL05-P-4;左前小腿关节-2;空心杯电机GMP24-370CA-51-1;伞齿-1,fr_calf_坐标,fr_calf_轴,fr_calf_joint,revolute,0.02533,-0.0033053,-0.069363,0,0,0,fr_thigh_roll_link,0,-1,-0.001365,3,3,3,3,,,,,,,,
fr_tarsus_link,7.83041748941837E-08,0.00504559284634948,-0.0266294330451431,0,0,0,0.0670670254494955,1.24371462928996E-05,5.0435491745506E-11,-6.34228223836647E-10,1.37954681830549E-05,8.48758670821505E-07,4.7479580586409E-06,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_tarsus_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_tarsus_link.STL,,脚掌-2-2;脚掌-1-1;脚掌伞齿-2,fr_tarsus_坐标,fr_tarsus_轴,fr_tarsus_joint,revolute,0.0055464,0.0025664,-0.12187,0,0,0,fr_calf_link,0,-1,-0.001365,3,3,3,3,,,,,,,,
fr_foot_link,-2.77555756156289E-17,-1.69267099292547E-06,0.00124007147087276,0,0,0,0.00489075290329225,1.15137085286373E-07,-9.15254912292948E-40,1.22088202660225E-40,1.15137196907064E-07,-8.17746838161935E-11,1.75046218758843E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_foot_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/fr_foot_link.STL,,脚垫-1,fr_foot_坐标,,fr_foot_joint,fixed,0,0.0055908,-0.051933,0,0,0,fr_tarsus_link,0,0,0,,,,,,,,,,,,
